"","long","lat","group","feature"
"8701","-80.4367866","36.9905104","1","Water Body"
"8702","-80.4371497","36.9906531","1","Water Body"
"8703","-80.4372525","36.9907137","1","Water Body"
"8704","-80.4372867","36.9907795","1","Water Body"
"8705","-80.4372662","36.9908345","1","Water Body"
"8706","-80.437225","36.990873","1","Water Body"
"8707","-80.4371223","36.9909005","1","Water Body"
"8708","-80.4367113","36.9909005","1","Water Body"
"8731","-80.4363623","37.0065629","1","Water Body"
"8732","-80.4363966","37.0065684","1","Water Body"
"8733","-80.4364994","37.0066234","1","Water Body"
"8734","-80.43652","37.0066619","1","Water Body"
"8735","-80.4364925","37.0067058","1","Water Body"
"8736","-80.436424","37.0067662","1","Water Body"
"8737","-80.4363692","37.0067772","1","Water Body"
"8738","-80.4363417","37.0067607","1","Water Body"
"8739","-80.4363213","37.0067058","1","Water Body"
"8740","-80.4363281","37.0065959","1","Water Body"
"8741","-80.4363623","37.0065629","1","Water Body"
"8806","-80.4352148","36.7891042","1","Water Body"
"8807","-80.4353789","36.7892032","1","Water Body"
"8808","-80.4354199","36.789357","1","Water Body"
"8809","-80.4353925","36.7894779","1","Water Body"
"8810","-80.4352831","36.7895658","1","Water Body"
"8811","-80.4349825","36.7895658","1","Water Body"
"8812","-80.4348663","36.7894724","1","Water Body"
"8813","-80.4348869","36.789324","1","Water Body"
"8814","-80.4349414","36.789247","1","Water Body"
"8815","-80.4350508","36.7891591","1","Water Body"
"8816","-80.4351192","36.7891152","1","Water Body"
"8817","-80.4352148","36.7891042","1","Water Body"
"9015","-80.4334147","36.8175858","1","Water Body"
"9016","-80.433565","36.817877","1","Water Body"
"9017","-80.4335787","36.8179705","1","Water Body"
"9018","-80.4335377","36.8180694","1","Water Body"
"9019","-80.433401","36.8181463","1","Water Body"
"9020","-80.4331412","36.8181903","1","Water Body"
"9021","-80.4329772","36.8182013","1","Water Body"
"9022","-80.4327448","36.8181683","1","Water Body"
"9023","-80.4326628","36.8180913","1","Water Body"
"9024","-80.4326491","36.8179485","1","Water Body"
"9025","-80.4326901","36.8178605","1","Water Body"
"9026","-80.4327995","36.8177176","1","Water Body"
"9027","-80.4329499","36.8175967","1","Water Body"
"9028","-80.4331823","36.8174538","1","Water Body"
"9029","-80.4332507","36.8174538","1","Water Body"
